"","bag","event","surv"
"219","MVP-LARMIX-3",4,0.545744959602018
"220","MVP-LARMIX-4",4,0.27194156522652
"221","MVP-LARMIX-5",4,0.280551244649474
"222","MVP-LARMIX-6",4,0.280870887608708
"223","MVP-LOLA-1",4,0.645600687728347
"224","MVP-LOLA-2",4,0.732407433715575
"225","MVP-LOLA-3",4,0.745182935222626
"226","MVP-LOLA-4",4,0.228365590544107
"227","MVP-LOLA-5",4,0.286525583048676
"228","MVP-LOLA-6",4,0.251684382286047
"229","MVP-ME-1",4,0.0915826230290411
"230","MVP-ME-2",4,0.123555312367737
"231","MVP-ME-3",4,0.201633045771901
"232","MVP-ME-4",4,0.00883729142756246
"233","MVP-ME-5",4,0.0401823606482668
"234","MVP-ME-6",4,0.0209659012828096
"235","MVP-NH-1",4,0.0335307507077097
"236","MVP-NH-2",4,0.0994930896526641
"237","MVP-NH-3",4,0.0563651723081255
"238","MVP-NH-4",4,NA
"239","MVP-NH-5",4,0.0391480657710881
"240","MVP-NH-6",4,0.029433358295523
"241","MVP-SEEDMIX-1",4,0.473115826346852
"242","MVP-SEEDMIX-2",4,0.636851308021799
"243","MVP-SEEDMIX-3",4,0.533519964682619
"244","MVP-SEEDMIX-4",4,0.279963158142277
"245","MVP-SEEDMIX-5",4,0.335236991514934
"246","MVP-SEEDMIX-6",4,0.344426095346089
"247","MVP-TX-1",4,0.578042851088654
"248","MVP-TX-2",4,0.724855941940326
"249","MVP-TX-3",4,0.697078266317241
"250","MVP-TX-4",4,0.354369648291575
"251","MVP-TX-5",4,0.465117208018518
"252","MVP-TX-6",4,0.369391824526421
