"","tags_label","tags_timestamp","bag_site","bags_label","pop","bagnum","length","width","tagsLength_timestamp","tagsLength_date","tagsLength_time","event"
"19","A130","11/7/2023 15:28:43","Lewisetta","MVP-DEBY-1","DEBY","1",57,43,"11/7/2024 17:17:34",2024-11-07,"17:17:34",3
"20","A130","11/7/2023 15:28:43","Lewisetta","MVP-DEBY-1","DEBY","1",74,59,"5/21/2025 15:40:32",2025-05-21,"15:40:32",4
"21","A130","11/7/2023 15:28:43","Lewisetta","MVP-DEBY-1","DEBY","1",38,27,"11/7/2023 15:28:43",2023-11-07,"15:28:43",1
"22","A754","11/14/2023 14:43:43","YorkRiver","MVP-SEEDMIX-4","SEEDMIX","4",42,24,"11/12/2024 11:09:51",2024-11-12,"11:09:51",3
"23","A754","11/14/2023 14:43:43","YorkRiver","MVP-SEEDMIX-4","SEEDMIX","4",35,22,"11/14/2023 14:43:43",2023-11-14,"14:43:43",1
"24","A754","11/14/2023 14:43:43","YorkRiver","MVP-SEEDMIX-4","SEEDMIX","4",39,21,"5/8/2024 13:12:20",2024-05-08,"13:12:20",2
"25","B013","11/9/2023 14:01:10","Lewisetta","MVP-NH-3","NH","3",0,0,"11/7/2024 18:04:45",2024-11-07,"18:04:45",3
"26","B013","11/9/2023 14:01:10","Lewisetta","MVP-NH-3","NH","3",29,21,"11/9/2023 14:01:10",2023-11-09,"14:01:10",1
"27","B013","11/9/2023 14:01:10","Lewisetta","MVP-NH-3","NH","3",32,23,"4/30/2024 13:27:46",2024-04-30,"13:27:46",2
"28","B066","11/9/2023 14:37:46","Lewisetta","MVP-TX-2","TX","2",60,56,"5/20/2025 15:02:27",2025-05-20,"15:02:27",4
"29","B066","11/9/2023 14:37:46","Lewisetta","MVP-TX-2","TX","2",35,24,"4/30/2024 13:16:16",2024-04-30,"13:16:16",2
"30","B066","11/9/2023 14:37:46","Lewisetta","MVP-TX-2","TX","2",29,21,"11/9/2023 14:37:46",2023-11-09,"14:37:46",1
"31","B066","11/9/2023 14:37:46","Lewisetta","MVP-TX-2","TX","2",51,39,"11/7/2024 13:08:22",2024-11-07,"13:08:22",3
"32","B315","11/7/2023 11:55:02","Lewisetta","MVP-ME-1","ME","1",43,28,"11/7/2024 16:39:47",2024-11-07,"16:39:47",3
"33","B315","11/7/2023 11:55:02","Lewisetta","MVP-ME-1","ME","1",33,20,"11/7/2023 11:55:02",2023-11-07,"11:55:02",1
"34","B315","11/7/2023 11:55:02","Lewisetta","MVP-ME-1","ME","1",38,27,"5/2/2024 14:40:55",2024-05-02,"14:40:55",2
"35","E322","11/10/2023 14:59:12","YorkRiver","MVP-LARMIX-4","LARMIX","4",23,15,"11/10/2023 14:59:12",2023-11-10,"14:59:12",1
"36","E322","11/10/2023 14:59:12","YorkRiver","MVP-LARMIX-4","LARMIX","4",29,20,"5/8/2024 13:40:22",2024-05-08,"13:40:22",2
"37","A422","11/9/2023 15:44:13","Lewisetta","MVP-LOLA-2","LOLA","2",82,48,"5/20/2025 16:52:41",2025-05-20,"16:52:41",4
"38","A422","11/9/2023 15:44:13","Lewisetta","MVP-LOLA-2","LOLA","2",42,29,"4/30/2024 12:53:51",2024-04-30,"12:53:51",2
"39","A422","11/9/2023 15:44:13","Lewisetta","MVP-LOLA-2","LOLA","2",40,27,"11/9/2023 15:44:13",2023-11-09,"15:44:13",1
"40","A422","11/9/2023 15:44:13","Lewisetta","MVP-LOLA-2","LOLA","2",68,45,"11/7/2024 15:13:05",2024-11-07,"15:13:05",3
"41","D792","11/7/2023 15:26:37","Lewisetta","MVP-FL-1","FL","1",93,69,"5/20/2025 15:22:12",2025-05-20,"15:22:12",4
"42","D792","11/7/2023 15:26:37","Lewisetta","MVP-FL-1","FL","1",45,28,"5/3/2024 9:20:28",2024-05-03,"9:20:28",2
"43","D792","11/7/2023 15:26:37","Lewisetta","MVP-FL-1","FL","1",84,60,"11/7/2024 12:49:48",2024-11-07,"12:49:48",3
"44","D792","11/7/2023 15:26:37","Lewisetta","MVP-FL-1","FL","1",29,24,"11/7/2023 15:26:37",2023-11-07,"15:26:37",1
"45","E112","11/7/2023 15:05:23","Lewisetta","MVP-FL-3","FL","3",51,34,"11/7/2024 13:38:50",2024-11-07,"13:38:50",3
"46","E112","11/7/2023 15:05:23","Lewisetta","MVP-FL-3","FL","3",32,27,"11/7/2023 15:05:23",2023-11-07,"15:05:23",1
"47","E112","11/7/2023 15:05:23","Lewisetta","MVP-FL-3","FL","3",63,43,"5/20/2025 16:11:17",2025-05-20,"16:11:17",4
"48","E112","11/7/2023 15:05:23","Lewisetta","MVP-FL-3","FL","3",31,20,"5/2/2024 14:47:46",2024-05-02,"14:47:46",2
"49","E386","11/10/2023 14:02:54","YorkRiver","MVP-FL-4","FL","4",49,18,"5/8/2024 14:30:19",2024-05-08,"14:30:19",2
"50","E386","11/10/2023 14:02:54","YorkRiver","MVP-FL-4","FL","4",55,38,"5/25/2025 11:18:16",2025-05-25,"11:18:16",4
"51","E386","11/10/2023 14:02:54","YorkRiver","MVP-FL-4","FL","4",36,20,"11/10/2023 14:02:54",2023-11-10,"14:02:54",1
"52","E386","11/10/2023 14:02:54","YorkRiver","MVP-FL-4","FL","4",51,36,"11/12/2024 11:34:05",2024-11-12,"11:34:05",3
"53","B332","11/7/2023 15:21:50","Lewisetta","MVP-JR-1","JR","1",54,38,"11/7/2024 15:58:14",2024-11-07,"15:58:14",3
"54","B332","11/7/2023 15:21:50","Lewisetta","MVP-JR-1","JR","1",65,53,"5/20/2025 15:30:36",2025-05-20,"15:30:36",4
"55","B332","11/7/2023 15:21:50","Lewisetta","MVP-JR-1","JR","1",22,16,"11/7/2023 15:21:50",2023-11-07,"15:21:50",1
"56","B332","11/7/2023 15:21:50","Lewisetta","MVP-JR-1","JR","1",25,18,"5/2/2024 15:06:39",2024-05-02,"15:06:39",2
"57","C286","11/14/2023 15:03:35","YorkRiver","MVP-ME-4","ME","4",35,21,"11/14/2023 15:03:35",2023-11-14,"15:03:35",1
"58","C286","11/14/2023 15:03:35","YorkRiver","MVP-ME-4","ME","4",38,23,"5/9/2024 10:11:46",2024-05-09,"10:11:46",2
"59","A816","11/14/2023 15:36:04","YorkRiver","MVP-ME-5","ME","5",39,23,"11/14/2023 15:36:04",2023-11-14,"15:36:04",1
"60","A816","11/14/2023 15:36:04","YorkRiver","MVP-ME-5","ME","5",38,22,"5/7/2024 10:15:04",2024-05-07,"10:15:04",2
"61","B253","11/9/2023 16:02:55","Lewisetta","MVP-NH-2","NH","2",55,34,"11/7/2024 14:08:29",2024-11-07,"14:08:29",3
"62","B253","11/9/2023 16:02:55","Lewisetta","MVP-NH-2","NH","2",41,30,"5/1/2024 8:11:26",2024-05-01,"8:11:26",2
"63","B253","11/9/2023 16:02:55","Lewisetta","MVP-NH-2","NH","2",32,21,"11/9/2023 16:02:55",2023-11-09,"16:02:55",1
"64","A923","11/15/2023 15:47:03","YorkRiver","MVP-LOLA-4","LOLA","4",45,26,"5/7/2024 10:08:51",2024-05-07,"10:08:51",2
"65","A923","11/15/2023 15:47:03","YorkRiver","MVP-LOLA-4","LOLA","4",43,27,"11/15/2023 15:47:03",2023-11-15,"15:47:03",1
"66","A923","11/15/2023 15:47:03","YorkRiver","MVP-LOLA-4","LOLA","4",61,40,"11/12/2024 9:47:38",2024-11-12,"9:47:38",3
"67","E018","11/7/2023 12:15:24","Lewisetta","MVP-TX-3","TX","3",88,78,"5/20/2025 14:58:52",2025-05-20,"14:58:52",4
"68","E018","11/7/2023 12:15:24","Lewisetta","MVP-TX-3","TX","3",32,24,"11/7/2023 12:15:24",2023-11-07,"12:15:24",1
"69","E018","11/7/2023 12:15:24","Lewisetta","MVP-TX-3","TX","3",41,27,"5/2/2024 14:01:42",2024-05-02,"14:01:42",2
"70","C204","11/14/2023 15:37:54","YorkRiver","MVP-LA-5","LA","5",53,46,"5/25/2025 9:55:21",2025-05-25,"9:55:21",4
"71","C204","11/14/2023 15:37:54","YorkRiver","MVP-LA-5","LA","5",33,22,"11/14/2023 15:37:54",2023-11-14,"15:37:54",1
"72","C204","11/14/2023 15:37:54","YorkRiver","MVP-LA-5","LA","5",40,25,"5/7/2024 9:46:16",2024-05-07,"9:46:16",2
"73","C204","11/14/2023 15:37:54","YorkRiver","MVP-LA-5","LA","5",53,46,"11/12/2024 11:25:27",2024-11-12,"11:25:27",3
"74","C237","11/14/2023 15:54:50","YorkRiver","MVP-LA-5","LA","5",30,26,"5/6/2024 13:53:19",2024-05-06,"13:53:19",2
"75","C237","11/14/2023 15:54:50","YorkRiver","MVP-LA-5","LA","5",24,19,"11/14/2023 15:54:50",2023-11-14,"15:54:50",1
"76","C237","11/14/2023 15:54:50","YorkRiver","MVP-LA-5","LA","5",31,26,"11/12/2024 11:25:00",2024-11-12,"11:25:00",3
"77","A513","11/10/2023 14:25:17","YorkRiver","MVP-LA-4","LA","4",21,16,"11/10/2023 14:25:17",2023-11-10,"14:25:17",1
"78","A513","11/10/2023 14:25:17","YorkRiver","MVP-LA-4","LA","4",43,29,"11/12/2024 10:19:27",2024-11-12,"10:19:27",3
"79","A513","11/10/2023 14:25:17","YorkRiver","MVP-LA-4","LA","4",32,24,"5/8/2024 13:20:12",2024-05-08,"13:20:12",2
"80","B259","11/9/2023 15:56:03","Lewisetta","MVP-NH-2","NH","2",22,16,"11/9/2023 15:56:03",2023-11-09,"15:56:03",1
"81","B259","11/9/2023 15:56:03","Lewisetta","MVP-NH-2","NH","2",29,23,"4/30/2024 12:44:51",2024-04-30,"12:44:51",2
"82","B259","11/9/2023 15:56:03","Lewisetta","MVP-NH-2","NH","2",59,42,"5/20/2025 14:30:54",2025-05-20,"14:30:54",4
"83","B259","11/9/2023 15:56:03","Lewisetta","MVP-NH-2","NH","2",48,33,"11/7/2024 14:13:02",2024-11-07,"14:13:02",3
"84","A247","11/9/2023 14:33:09","Lewisetta","MVP-ME-3","ME","3",34,25,"4/30/2024 12:57:45",2024-04-30,"12:57:45",2
"85","A247","11/9/2023 14:33:09","Lewisetta","MVP-ME-3","ME","3",44,38,"11/7/2024 15:14:19",2024-11-07,"15:14:19",3
"86","A247","11/9/2023 14:33:09","Lewisetta","MVP-ME-3","ME","3",26,21,"11/9/2023 14:33:09",2023-11-09,"14:33:09",1
"87","A905","11/15/2023 15:40:01","YorkRiver","MVP-LOLA-4","LOLA","4",42,27,"11/15/2023 15:40:01",2023-11-15,"15:40:01",1
"88","A905","11/15/2023 15:40:01","YorkRiver","MVP-LOLA-4","LOLA","4",50,33,"5/7/2024 10:10:20",2024-05-07,"10:10:20",2
"89","A905","11/15/2023 15:40:01","YorkRiver","MVP-LOLA-4","LOLA","4",54,35,"11/12/2024 9:41:27",2024-11-12,"9:41:27",3
"90","A352","11/9/2023 15:09:44","Lewisetta","MVP-SEEDMIX-2","SEEDMIX","2",0,0,"11/7/2024 18:23:17",2024-11-07,"18:23:17",3
"91","A352","11/9/2023 15:09:44","Lewisetta","MVP-SEEDMIX-2","SEEDMIX","2",47,36,"4/30/2024 12:52:52",2024-04-30,"12:52:52",2
"92","A352","11/9/2023 15:09:44","Lewisetta","MVP-SEEDMIX-2","SEEDMIX","2",41,28,"11/9/2023 15:09:44",2023-11-09,"15:09:44",1
"93","C076","11/13/2023 14:43:26","YorkRiver","MVP-NH-5","NH","5",35,23,"11/13/2023 14:43:26",2023-11-13,"14:43:26",1
"94","C076","11/13/2023 14:43:26","YorkRiver","MVP-NH-5","NH","5",34,23,"5/7/2024 10:37:56",2024-05-07,"10:37:56",2
"95","A784","11/14/2023 14:41:08","YorkRiver","MVP-JR-6","JR","6",66,57,"11/11/2024 15:56:01",2024-11-11,"15:56:01",3
"96","A784","11/14/2023 14:41:08","YorkRiver","MVP-JR-6","JR","6",34,25,"5/6/2024 13:06:32",2024-05-06,"13:06:32",2
"97","A784","11/14/2023 14:41:08","YorkRiver","MVP-JR-6","JR","6",70,60,"5/25/2025 10:14:50",2025-05-25,"10:14:50",4
"98","A784","11/14/2023 14:41:08","YorkRiver","MVP-JR-6","JR","6",31,21,"11/14/2023 14:41:08",2023-11-14,"14:41:08",1
"99","A287","11/9/2023 14:37:27","Lewisetta","MVP-LOLA-3","LOLA","3",93,63,"5/20/2025 16:02:16",2025-05-20,"16:02:16",4
"100","A287","11/9/2023 14:37:27","Lewisetta","MVP-LOLA-3","LOLA","3",30,21,"11/9/2023 14:37:27",2023-11-09,"14:37:27",1
"101","A287","11/9/2023 14:37:27","Lewisetta","MVP-LOLA-3","LOLA","3",38,29,"4/30/2024 13:23:33",2024-04-30,"13:23:33",2
"102","A287","11/9/2023 14:37:27","Lewisetta","MVP-LOLA-3","LOLA","3",75,50,"11/7/2024 13:57:01",2024-11-07,"13:57:01",3
"103","2070-B398","11/7/2023 15:04:25","Lewisetta","MVP-JR-1","JR","1",75,72,"5/20/2025 15:21:53",2025-05-20,"15:21:53",4
"104","2070-B398","11/7/2023 15:04:25","Lewisetta","MVP-JR-1","JR","1",31,26,"11/7/2023 15:04:25",2023-11-07,"15:04:25",1
"105","2070-B398","11/7/2023 15:04:25","Lewisetta","MVP-JR-1","JR","1",39,36,"5/3/2024 8:36:36",2024-05-03,"8:36:36",2
"106","2070-B398","11/7/2023 15:04:25","Lewisetta","MVP-JR-1","JR","1",59,58,"11/7/2024 16:13:07",2024-11-07,"16:13:07",3
"107","A557","11/10/2023 14:03:37","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",65,47,"5/25/2025 10:23:58",2025-05-25,"10:23:58",4
"108","A557","11/10/2023 14:03:37","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",73,45,"11/12/2024 9:12:05",2024-11-12,"9:12:05",3
"109","A557","11/10/2023 14:03:37","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",38,22,"5/8/2024 14:22:33",2024-05-08,"14:22:33",2
"110","A557","11/10/2023 14:03:37","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",28,16,"11/10/2023 14:03:37",2023-11-10,"14:03:37",1
"111","A468","11/10/2023 14:58:41","YorkRiver","MVP-NH-4","NH","4",29,24,"5/9/2024 10:07:12",2024-05-09,"10:07:12",2
"112","A468","11/10/2023 14:58:41","YorkRiver","MVP-NH-4","NH","4",22,19,"11/10/2023 14:58:41",2023-11-10,"14:58:41",1
"113","C189","11/14/2023 15:41:30","YorkRiver","MVP-LOLA-5","LOLA","5",36,22,"11/14/2023 15:41:30",2023-11-14,"15:41:30",1
"114","C189","11/14/2023 15:41:30","YorkRiver","MVP-LOLA-5","LOLA","5",54,37,"11/12/2024 10:30:15",2024-11-12,"10:30:15",3
"115","C189","11/14/2023 15:41:30","YorkRiver","MVP-LOLA-5","LOLA","5",43,30,"5/9/2024 9:51:38",2024-05-09,"9:51:38",2
"116","A484","11/10/2023 15:06:31","YorkRiver","MVP-NH-4","NH","4",25,18,"5/8/2024 13:22:41",2024-05-08,"13:22:41",2
"117","A484","11/10/2023 15:06:31","YorkRiver","MVP-NH-4","NH","4",26,19,"11/10/2023 15:06:31",2023-11-10,"15:06:31",1
"118","E487","11/13/2023 15:02:35","YorkRiver","MVP-FL-5","FL","5",41,21,"11/13/2023 15:02:35",2023-11-13,"15:02:35",1
"119","E487","11/13/2023 15:02:35","YorkRiver","MVP-FL-5","FL","5",47,26,"5/8/2024 13:34:12",2024-05-08,"13:34:12",2
"120","C159","11/14/2023 14:51:57","YorkRiver","MVP-JR-4","JR","4",32,18,"11/14/2023 14:51:57",2023-11-14,"14:51:57",1
"121","C159","11/14/2023 14:51:57","YorkRiver","MVP-JR-4","JR","4",45,26,"5/8/2024 14:13:15",2024-05-08,"14:13:15",2
"122","C159","11/14/2023 14:51:57","YorkRiver","MVP-JR-4","JR","4",67,40,"11/11/2024 15:30:00",2024-11-11,"15:30:00",3
"123","A429","11/9/2023 15:47:47","Lewisetta","MVP-LOLA-2","LOLA","2",63,43,"5/1/2024 9:05:19",2024-05-01,"9:05:19",2
"124","A429","11/9/2023 15:47:47","Lewisetta","MVP-LOLA-2","LOLA","2",58,36,"11/9/2023 15:47:47",2023-11-09,"15:47:47",1
"125","A429","11/9/2023 15:47:47","Lewisetta","MVP-LOLA-2","LOLA","2",87,55,"11/7/2024 15:21:07",2024-11-07,"15:21:07",3
"126","A429","11/9/2023 15:47:47","Lewisetta","MVP-LOLA-2","LOLA","2",109,69,"5/20/2025 16:54:54",2025-05-20,"16:54:54",4
"127","A537","11/10/2023 14:10:31","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",28,17,"11/10/2023 14:10:31",2023-11-10,"14:10:31",1
"128","A537","11/10/2023 14:10:31","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",32,21,"5/8/2024 14:23:37",2024-05-08,"14:23:37",2
"129","A537","11/10/2023 14:10:31","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",51,34,"5/25/2025 10:25:23",2025-05-25,"10:25:23",4
"130","A537","11/10/2023 14:10:31","YorkRiver","MVP-SEEDMIX-5","SEEDMIX","5",44,29,"11/12/2024 9:10:37",2024-11-12,"9:10:37",3
"131","E562","11/15/2023 15:26:17","YorkRiver","MVP-FL-6","FL","6",45,26,"11/15/2023 15:26:17",2023-11-15,"15:26:17",1
"132","E562","11/15/2023 15:26:17","YorkRiver","MVP-FL-6","FL","6",49,25,"5/7/2024 9:26:20",2024-05-07,"9:26:20",2
"133","B347","11/7/2023 15:41:24","Lewisetta","MVP-LA-3","LA","3",42,22,"11/7/2023 15:41:24",2023-11-07,"15:41:24",1
"134","B347","11/7/2023 15:41:24","Lewisetta","MVP-LA-3","LA","3",61,37,"11/7/2024 16:07:58",2024-11-07,"16:07:58",3
"135","B347","11/7/2023 15:41:24","Lewisetta","MVP-LA-3","LA","3",43,24,"5/2/2024 14:35:10",2024-05-02,"14:35:10",2
"136","B347","11/7/2023 15:41:24","Lewisetta","MVP-LA-3","LA","3",59,40,"5/20/2025 16:27:02",2025-05-20,"16:27:02",4
"137","E392","11/10/2023 14:06:08","YorkRiver","MVP-FL-4","FL","4",67,45,"11/12/2024 11:27:17",2024-11-12,"11:27:17",3
"138","E392","11/10/2023 14:06:08","YorkRiver","MVP-FL-4","FL","4",40,25,"11/10/2023 14:06:08",2023-11-10,"14:06:08",1
"139","E392","11/10/2023 14:06:08","YorkRiver","MVP-FL-4","FL","4",46,30,"5/9/2024 9:16:40",2024-05-09,"9:16:40",2
"140","E392","11/10/2023 14:06:08","YorkRiver","MVP-FL-4","FL","4",72,45,"5/25/2025 11:20:26",2025-05-25,"11:20:26",4
"141","A174","11/7/2023 15:42:03","Lewisetta","MVP-LA-3","LA","3",68,61,"5/20/2025 16:24:31",2025-05-20,"16:24:31",4
"142","A174","11/7/2023 15:42:03","Lewisetta","MVP-LA-3","LA","3",55,49,"11/7/2024 16:07:44",2024-11-07,"16:07:44",3
"143","A174","11/7/2023 15:42:03","Lewisetta","MVP-LA-3","LA","3",37,29,"11/7/2023 15:42:03",2023-11-07,"15:42:03",1
"144","A174","11/7/2023 15:42:03","Lewisetta","MVP-LA-3","LA","3",40,34,"5/3/2024 8:21:40",2024-05-03,"8:21:40",2
"145","C361","11/15/2023 15:20:00","YorkRiver","MVP-TX-6","TX","6",41,26,"11/15/2023 15:20:00",2023-11-15,"15:20:00",1
"146","C361","11/15/2023 15:20:00","YorkRiver","MVP-TX-6","TX","6",47,30,"5/7/2024 9:38:14",2024-05-07,"9:38:14",2
"147","C340","11/15/2023 15:30:53","YorkRiver","MVP-SEEDMIX-6","SEEDMIX","6",27,23,"5/6/2024 13:47:24",2024-05-06,"13:47:24",2
"148","C340","11/15/2023 15:30:53","YorkRiver","MVP-SEEDMIX-6","SEEDMIX","6",24,19,"11/15/2023 15:30:53",2023-11-15,"15:30:53",1
"149","A753","11/14/2023 14:43:21","YorkRiver","MVP-SEEDMIX-4","SEEDMIX","4",44,26,"11/14/2023 14:43:21",2023-11-14,"14:43:21",1
"150","A753","11/14/2023 14:43:21","YorkRiver","MVP-SEEDMIX-4","SEEDMIX","4",45,25,"5/9/2024 9:47:19",2024-05-09,"9:47:19",2
"151","E095","11/7/2023 15:07:54","Lewisetta","MVP-FL-3","FL","3",42,20,"5/3/2024 7:51:08",2024-05-03,"7:51:08",2
"152","E095","11/7/2023 15:07:54","Lewisetta","MVP-FL-3","FL","3",38,24,"11/7/2023 15:07:54",2023-11-07,"15:07:54",1
"153","C367","11/15/2023 15:21:09","YorkRiver","MVP-TX-6","TX","6",30,22,"11/15/2023 15:21:09",2023-11-15,"15:21:09",1
"154","C367","11/15/2023 15:21:09","YorkRiver","MVP-TX-6","TX","6",32,25,"5/6/2024 13:43:09",2024-05-06,"13:43:09",2
"155","C367","11/15/2023 15:21:09","YorkRiver","MVP-TX-6","TX","6",23,21,"11/8/2024 10:40:08",2024-11-08,"10:40:08",3
"156","E016","11/7/2023 12:13:45","Lewisetta","MVP-TX-3","TX","3",46,35,"5/3/2024 7:58:23",2024-05-03,"7:58:23",2
"157","E016","11/7/2023 12:13:45","Lewisetta","MVP-TX-3","TX","3",36,29,"11/7/2023 12:13:45",2023-11-07,"12:13:45",1
"158","A502","11/10/2023 14:20:09","YorkRiver","MVP-LA-4","LA","4",32,27,"5/9/2024 9:29:01",2024-05-09,"9:29:01",2
"159","A502","11/10/2023 14:20:09","YorkRiver","MVP-LA-4","LA","4",29,24,"11/10/2023 14:20:09",2023-11-10,"14:20:09",1
"160","B100","11/9/2023 14:46:10","Lewisetta","MVP-SEEDMIX-3","SEEDMIX","3",62,51,"5/20/2025 14:42:05",2025-05-20,"14:42:05",4
"161","B100","11/9/2023 14:46:10","Lewisetta","MVP-SEEDMIX-3","SEEDMIX","3",56,46,"11/7/2024 13:22:18",2024-11-07,"13:22:18",3
"162","B100","11/9/2023 14:46:10","Lewisetta","MVP-SEEDMIX-3","SEEDMIX","3",26,24,"4/30/2024 13:54:32",2024-04-30,"13:54:32",2
"163","B100","11/9/2023 14:46:10","Lewisetta","MVP-SEEDMIX-3","SEEDMIX","3",22,23,"11/9/2023 14:46:10",2023-11-09,"14:46:10",1
"164","C373","11/15/2023 15:22:15","YorkRiver","MVP-TX-6","TX","6",33,20,"11/15/2023 15:22:15",2023-11-15,"15:22:15",1
"165","C373","11/15/2023 15:22:15","YorkRiver","MVP-TX-6","TX","6",40,24,"5/7/2024 9:40:03",2024-05-07,"9:40:03",2
"166","B284","11/9/2023 15:49:44","Lewisetta","MVP-NH-2","NH","2",27,19,"11/9/2023 15:49:44",2023-11-09,"15:49:44",1
"167","B284","11/9/2023 15:49:44","Lewisetta","MVP-NH-2","NH","2",30,22,"4/30/2024 12:44:26",2024-04-30,"12:44:26",2
"168","B077","11/9/2023 14:43:21","Lewisetta","MVP-TX-2","TX","2",45,27,"11/9/2023 14:43:21",2023-11-09,"14:43:21",1
"169","B077","11/9/2023 14:43:21","Lewisetta","MVP-TX-2","TX","2",50,30,"5/1/2024 8:06:59",2024-05-01,"8:06:59",2
"170","B279","11/9/2023 15:47:52","Lewisetta","MVP-NH-2","NH","2",26,17,"11/9/2023 15:47:52",2023-11-09,"15:47:52",1
"171","B279","11/9/2023 15:47:52","Lewisetta","MVP-NH-2","NH","2",42,29,"11/7/2024 14:06:30",2024-11-07,"14:06:30",3
"172","B279","11/9/2023 15:47:52","Lewisetta","MVP-NH-2","NH","2",33,25,"4/30/2024 12:41:34",2024-04-30,"12:41:34",2
"173","A699","11/14/2023 14:59:50","YorkRiver","MVP-LARMIX-5","LARMIX","5",34,20,"11/14/2023 14:59:50",2023-11-14,"14:59:50",1
"174","A699","11/14/2023 14:59:50","YorkRiver","MVP-LARMIX-5","LARMIX","5",37,23,"5/7/2024 10:25:17",2024-05-07,"10:25:17",2
"175","A699","11/14/2023 14:59:50","YorkRiver","MVP-LARMIX-5","LARMIX","5",60,37,"11/8/2024 10:52:12",2024-11-08,"10:52:12",3
"176","E283","11/9/2023 15:39:01","Lewisetta","MVP-LA-2","LA","2",69,41,"11/7/2024 17:33:36",2024-11-07,"17:33:36",3
"177","E283","11/9/2023 15:39:01","Lewisetta","MVP-LA-2","LA","2",38,29,"11/9/2023 15:39:01",2023-11-09,"15:39:01",1
"178","E283","11/9/2023 15:39:01","Lewisetta","MVP-LA-2","LA","2",43,33,"5/1/2024 8:47:45",2024-05-01,"8:47:45",2
"179","E283","11/9/2023 15:39:01","Lewisetta","MVP-LA-2","LA","2",77,56,"5/20/2025 14:31:46",2025-05-20,"14:31:46",4
"180","A670","11/13/2023 15:23:48","YorkRiver","MVP-JR-5","JR","5",61,53,"5/25/2025 10:22:27",2025-05-25,"10:22:27",4
"181","A670","11/13/2023 15:23:48","YorkRiver","MVP-JR-5","JR","5",30,23,"11/13/2023 15:23:48",2023-11-13,"15:23:48",1
"182","A670","11/13/2023 15:23:48","YorkRiver","MVP-JR-5","JR","5",37,27,"5/9/2024 9:31:10",2024-05-09,"9:31:10",2
