"","bag","monitoring_event","length"
"47","MVP-NH-5",1,28.0666666666667
"48","MVP-NH-6",1,24.26
"49","MVP-SEEDMIX-1",1,31.5813953488372
"50","MVP-SEEDMIX-2",1,32.9318181818182
"51","MVP-SEEDMIX-3",1,37.75
"52","MVP-SEEDMIX-4",1,30.4090909090909
"53","MVP-SEEDMIX-5",1,28.3181818181818
"54","MVP-SEEDMIX-6",1,29.9333333333333
"55","MVP-TX-1",1,36.7209302325581
"56","MVP-TX-2",1,38.948717948718
"57","MVP-TX-3",1,35.6666666666667
"58","MVP-TX-4",1,31.0454545454545
"59","MVP-TX-5",1,28.9555555555556
"60","MVP-TX-6",1,31.25
"61","MVP-DEBY-1",2,42.8604651162791
"62","MVP-DEBY-2",2,40.4634146341463
"63","MVP-DEBY-3",2,42.0487804878049
"64","MVP-DEBY-4",2,38.575
"65","MVP-DEBY-5",2,33.925
"66","MVP-DEBY-6",2,38.2142857142857
"67","MVP-FL-1",2,39.65
"68","MVP-FL-2",2,42.2
"69","MVP-FL-3",2,38.14
"70","MVP-FL-4",2,40.1590909090909
"71","MVP-FL-5",2,43.4358974358974
"72","MVP-FL-6",2,41.5365853658537
"73","MVP-JR-1",2,34.5714285714286
"74","MVP-JR-2",2,46.3658536585366
"75","MVP-JR-3",2,38.3863636363636
"76","MVP-JR-4",2,36.75
"77","MVP-JR-5",2,35.225
"78","MVP-JR-6",2,37.525
"79","MVP-LA-1",2,41.2222222222222
"80","MVP-LA-2",2,41.5897435897436
"81","MVP-LA-3",2,42.1
"82","MVP-LA-4",2,32.475
"83","MVP-LA-5",2,33.3
"84","MVP-LA-6",2,33.725
"85","MVP-LARMIX-1",2,45.8461538461538
"86","MVP-LARMIX-2",2,45.15
"87","MVP-LARMIX-3",2,42.1951219512195
"88","MVP-LARMIX-4",2,35.025641025641
"89","MVP-LARMIX-5",2,32.85
"90","MVP-LARMIX-6",2,38.875
"91","MVP-LOLA-1",2,43.8157894736842
"92","MVP-LOLA-2",2,47.425
"93","MVP-LOLA-3",2,40.175
"94","MVP-LOLA-4",2,38.975
"95","MVP-LOLA-5",2,36.974358974359
"96","MVP-LOLA-6",2,38.05
"97","MVP-ME-1",2,36
"98","MVP-ME-2",2,36.1951219512195
"99","MVP-ME-3",2,29.609756097561
"100","MVP-ME-4",2,33.1219512195122
"101","MVP-ME-5",2,34.375
"102","MVP-ME-6",2,36.45
"103","MVP-NH-1",2,32.15
"104","MVP-NH-2",2,33.35
"105","MVP-NH-3",2,31.0975609756098
"106","MVP-NH-4",2,28.7894736842105
"107","MVP-NH-5",2,29.2
"108","MVP-NH-6",2,27.921052631579
"109","MVP-SEEDMIX-1",2,39.2
"110","MVP-SEEDMIX-2",2,42.7179487179487
"111","MVP-SEEDMIX-3",2,41
"112","MVP-SEEDMIX-4",2,34.4
"113","MVP-SEEDMIX-5",2,35.55
"114","MVP-SEEDMIX-6",2,38
"115","MVP-TX-1",2,44.4358974358974
"116","MVP-TX-2",2,45.7435897435897
"117","MVP-TX-3",2,43.0975609756098
"118","MVP-TX-4",2,37.051282051282
"119","MVP-TX-5",2,36.4
"120","MVP-TX-6",2,37.65
"121","MVP-DEBY-1",3,64.6111111111111
"122","MVP-DEBY-2",3,64.4722222222222
"123","MVP-DEBY-3",3,75.2631578947368
"124","MVP-DEBY-4",3,45.5862068965517
"125","MVP-DEBY-5",3,59.7307692307692
"126","MVP-DEBY-6",3,60.1875
"127","MVP-FL-1",3,47.9166666666667
"128","MVP-FL-2",3,63.1842105263158
"129","MVP-FL-3",3,61.125
"130","MVP-FL-4",3,54.4285714285714
"131","MVP-FL-5",3,47.4090909090909
"132","MVP-FL-6",3,56.8620689655172
"133","MVP-JR-1",3,64.6857142857143
"134","MVP-JR-2",3,56.2941176470588
"135","MVP-JR-3",3,59.875
"136","MVP-JR-4",3,46.875
"137","MVP-JR-5",3,45.9677419354839
"138","MVP-JR-6",3,55.4
"139","MVP-LA-1",3,87.1764705882353
"140","MVP-LA-2",3,68.4864864864865
"141","MVP-LA-3",3,72.3611111111111
"142","MVP-LA-4",3,39.2857142857143
"143","MVP-LA-5",3,40.7037037037037
"144","MVP-LA-6",3,33.9473684210526
"145","MVP-LARMIX-1",3,70.0810810810811
"146","MVP-LARMIX-2",3,58
"147","MVP-LARMIX-3",3,50.6578947368421
"148","MVP-LARMIX-4",3,41.0740740740741
"149","MVP-LARMIX-5",3,31.35
"150","MVP-LARMIX-6",3,44.1875
"151","MVP-LOLA-1",3,69.972972972973
"152","MVP-LOLA-2",3,77.3714285714286
"153","MVP-LOLA-3",3,80.6
"154","MVP-LOLA-4",3,41.6666666666667
"155","MVP-LOLA-5",3,51.3846153846154
"156","MVP-LOLA-6",3,50.2592592592593
"157","MVP-ME-1",3,50.575
"158","MVP-ME-2",3,48.0277777777778
"159","MVP-ME-3",3,37.75
"160","MVP-ME-4",3,35.2307692307692
"161","MVP-ME-5",3,34.047619047619
"162","MVP-ME-6",3,43.1666666666667
"163","MVP-NH-1",3,35.551724137931
"164","MVP-NH-2",3,45.0294117647059
"165","MVP-NH-3",3,29.2
"166","MVP-NH-4",3,41.1666666666667
"167","MVP-NH-5",3,40.0625
"168","MVP-NH-6",3,34.9
"169","MVP-SEEDMIX-1",3,39.2424242424242
"170","MVP-SEEDMIX-2",3,49.4358974358974
"171","MVP-SEEDMIX-3",3,67.4324324324324
"172","MVP-SEEDMIX-4",3,47.3793103448276
"173","MVP-SEEDMIX-5",3,47.1935483870968
"174","MVP-SEEDMIX-6",3,48.2962962962963
"175","MVP-TX-1",3,62.4444444444444
"176","MVP-TX-2",3,65.7777777777778
"177","MVP-TX-3",3,68.2162162162162
"178","MVP-TX-4",3,38.4516129032258
"179","MVP-TX-5",3,36.84
"180","MVP-TX-6",3,35.88
"181","MVP-DEBY-1",4,83.8666666666667
"182","MVP-DEBY-2",4,87.0357142857143
"183","MVP-DEBY-3",4,87.5
"184","MVP-DEBY-4",4,63.8666666666667
"185","MVP-DEBY-5",4,68.6
"186","MVP-DEBY-6",4,73
"187","MVP-FL-1",4,77.8846153846154
"188","MVP-FL-2",4,77.4375
"189","MVP-FL-3",4,73.969696969697
"190","MVP-FL-4",4,61.5
"191","MVP-FL-5",4,59.4285714285714
"192","MVP-FL-6",4,60.0625
"193","MVP-JR-1",4,80.3548387096774
"194","MVP-JR-2",4,80
"195","MVP-JR-3",4,83.6428571428571
"196","MVP-JR-4",4,61.4444444444444
"197","MVP-JR-5",4,60.875
"198","MVP-JR-6",4,53.1052631578947
"199","MVP-LA-1",4,98.5333333333333
"200","MVP-LA-2",4,82.5294117647059
"201","MVP-LA-3",4,83.3235294117647
"202","MVP-LA-4",4,55.6
"203","MVP-LA-5",4,54
"204","MVP-LA-6",4,61.25
"205","MVP-LARMIX-1",4,86.3333333333333
"206","MVP-LARMIX-2",4,82.8214285714286
"207","MVP-LARMIX-3",4,79.5416666666667
"208","MVP-LARMIX-4",4,61
"209","MVP-LARMIX-5",4,51
"210","MVP-LARMIX-6",4,66.3333333333333
"211","MVP-LOLA-1",4,83.2142857142857
"212","MVP-LOLA-2",4,94.0357142857143
"213","MVP-LOLA-3",4,92.1612903225806
"214","MVP-LOLA-4",4,65.4
"215","MVP-LOLA-5",4,67.6
"216","MVP-LOLA-6",4,67.7272727272727
"217","MVP-ME-1",4,70.25
"218","MVP-ME-2",4,70.5
"219","MVP-ME-3",4,69.7142857142857
"220","MVP-ME-4",4,53.5
"221","MVP-ME-5",4,60
"222","MVP-NH-1",4,37
"223","MVP-NH-2",4,53.4545454545455
"224","MVP-NH-3",4,57.2
"225","MVP-NH-5",4,51.3333333333333
"226","MVP-NH-6",4,39
"227","MVP-SEEDMIX-1",4,83.6666666666667
"228","MVP-SEEDMIX-2",4,85.4166666666667
"229","MVP-SEEDMIX-3",4,71.7931034482759
"230","MVP-SEEDMIX-4",4,59
"231","MVP-SEEDMIX-5",4,60
"232","MVP-SEEDMIX-6",4,63.1538461538462
"233","MVP-TX-1",4,80.8846153846154
"234","MVP-TX-2",4,81.9032258064516
"235","MVP-TX-3",4,79.0740740740741
"236","MVP-TX-4",4,51.2857142857143
"237","MVP-TX-5",4,56
"238","MVP-TX-6",4,54.8
