phenotyping_key,phenotyping_label,phenotyping_bag_key,phenotyping_timestamp,shell_length_mm,shell_width_mm,tissue_wetweight_g,shell_dryweight_g,tissue_dryweight_g,phenotyping_notes,macroparasites,username
69b7c626,2023-11-29_MVP-ME-5__30,154f001c,2023-12-14,35,23,0.59,2.16,0.08,,,zeasegnitz@gmail.com
b50f88c6,2023-11-29_MVP-ME-5__31,154f001c,2023-12-14,23,15,0.17,0.84,0.01,tissue dryweight 0.008,,zeasegnitz@gmail.com
0a9dc0ed,2023-11-29_MVP-TX-4__32,8fcf6ad6,2023-12-14,21,15,0.2,0.93,0.03,,,zeasegnitz@gmail.com
7b6fe329,2023-11-29_MVP-TX-4__33,8fcf6ad6,2023-12-14,26,18,0.25,1.35,0.03,,,zeasegnitz@gmail.com
fa66fa1b,2023-11-29_MVP-TX-4__34,8fcf6ad6,2023-12-14,36,24,0.97,3.59,0.12,,,zeasegnitz@gmail.com
3aaab0c7,2023-11-29_MVP-TX-4__35,8fcf6ad6,2023-12-14,32,21,0.68,2.55,0.06,,,zeasegnitz@gmail.com
16797b9c,2023-11-29_MVP-TX-4__36,8fcf6ad6,2023-12-14,35,25,1.15,3.58,0.1,,,zeasegnitz@gmail.com
0e2a6690,2023-11-29_MVP-LOLA-4__37,70003775,2023-12-14,30,20,0.48,2.02,0.16,,,zeasegnitz@gmail.com
f0df0837,2023-11-29_MVP-LOLA-4__38,70003775,2023-12-14,27,17,0.37,1.57,0.02,,,zeasegnitz@gmail.com
c71d82f4,2023-11-29_MVP-LOLA-4__39,70003775,2023-12-14,33,18,0.43,2.15,0.05,,,zeasegnitz@gmail.com
4a1483b8,2023-11-29_MVP-LOLA-4__40,70003775,2023-12-14,25,17,0.25,1.15,0.02,,,zeasegnitz@gmail.com
d5dded05,2023-11-29_MVP-LOLA-4__41,70003775,2023-12-14,31,20,0.41,1.9,0.03,,,zeasegnitz@gmail.com
95e810da,2023-11-29_MVP-LARMIX-5__42,75d0a2e7,2023-12-14,25,17,0.31,1.39,0.07,,,zeasegnitz@gmail.com
396cfc80,2023-11-29_MVP-LARMIX-5__43,75d0a2e7,2023-12-14,20,13,0.17,0.74,0.02,,,zeasegnitz@gmail.com
88b0c919,2023-11-29_MVP-LARMIX-5__44,75d0a2e7,2023-12-14,36,26,1.10,3.44,0.11,,,zeasegnitz@gmail.com
1026ab9c,2023-11-29_MVP-LARMIX-5__45,75d0a2e7,2023-12-14,45,30,2.04,6.71,0.23,,,zeasegnitz@gmail.com
ed66d9dd,2023-11-29_MVP-LARMIX-5__46,75d0a2e7,2023-12-14,26,17,0.27,1.27,0.04,,,zeasegnitz@gmail.com
63f0964e,2023-11-29_MVP-TX-6__47,758e6ee0,2023-12-14,27,21,0.56,2.2,0.05,,,zeasegnitz@gmail.com
6a1a55aa,2023-11-29_MVP-TX-6__48,758e6ee0,2023-12-14,30,22,0.60,2.29,0.08,,,zeasegnitz@gmail.com
36fb909a,2023-11-29_MVP-TX-6__49,758e6ee0,2023-12-14,21,17,0.20,1.06,0.03,,,zeasegnitz@gmail.com
25eddad0,2023-11-29_MVP-TX-6__50,758e6ee0,2023-12-14,30,25,0.72,2.78,0.1,,,zeasegnitz@gmail.com
43cd0dc5,2023-11-29_MVP-TX-6__51,758e6ee0,2023-12-14,38,23,0.98,3.26,0.11,,,zeasegnitz@gmail.com
e06ec232,2023-11-29_MVP-JR-6__52,2d315fa1,2023-12-14,20,14,0.19,0.7,0.05,,,zeasegnitz@gmail.com
000d447e,2023-11-29_MVP-JR-6__53,2d315fa1,2023-12-14,23,17,0.30,1.16,0.06,,,zeasegnitz@gmail.com
59fabc97,2023-11-29_MVP-JR-6__54,2d315fa1,2023-12-14,26,17,0.35,1.1,0.04,,,zeasegnitz@gmail.com
6dfbcaa3,2023-11-29_MVP-JR-6__55,2d315fa1,2023-12-14,35,24,0.69,2.97,0.08,,,zeasegnitz@gmail.com
ccc994c0,2023-11-29_MVP-JR-6__56,2d315fa1,2023-12-14,42,25,1.31,4.32,0.16,,,zeasegnitz@gmail.com
25876c43,2023-11-29_MVP-ME-4__57,f54c2f63,2023-12-14,25,16,0.29,0.89,0.03,,,zeasegnitz@gmail.com
b76d8be7,2023-11-29_MVP-ME-4__58,f54c2f63,2023-12-14,23,13,0.20,0.67,0.02,,,zeasegnitz@gmail.com
ab753b8e,2023-11-29_MVP-ME-4__59,f54c2f63,2023-12-14,22,14,0.31,0.75,0.03,,,zeasegnitz@gmail.com
8c5d6dc1,2023-11-29_MVP-ME-4__60,f54c2f63,2023-12-14,15,10,NA,0.31,NA,DEAD- no tissue inside,,zeasegnitz@gmail.com
70753f85,2023-11-29_MVP-ME-4__61,f54c2f63,2023-12-14,39,25,1.12,2.92,0.12,,,zeasegnitz@gmail.com
1709a2b6,2023-11-29_MVP-FL-6__63,0c1abf43,2023-12-14,38,22,0.71,2.81,0.1,,,zeasegnitz@gmail.com
44ca43ab,2023-11-29_MVP-FL-6__64,0c1abf43,2023-12-14,43,24,0.83,3.74,0.11,,,zeasegnitz@gmail.com
c53f8780,2023-11-29_MVP-FL-6__65,0c1abf43,2023-12-14,45,27,1.12,4.91,0.14,,,zeasegnitz@gmail.com
ff47721c,2023-11-29_MVP-FL-6__66,0c1abf43,2023-12-14,46,27,1.16,4.23,0.16,,,zeasegnitz@gmail.com
60ba6338,2023-11-29_MVP-FL-6__67,0c1abf43,2023-12-14,45,24,1.19,4.14,0.13,,,zeasegnitz@gmail.com
df9265c5,2023-11-10_MVP-SEEDMIX-5__68,32663dce,2023-12-14,20,12,0.1,0.58,0.05,,,zeasegnitz@gmail.com
54aeb05d,2023-11-10_MVP-SEEDMIX-5__69,32663dce,2023-12-14,39,20,0.63,2.53,0.1,,,zeasegnitz@gmail.com
8bd8aecd,2023-11-10_MVP-SEEDMIX-5__70,32663dce,2023-12-14,39,25,0.83,3.52,0.09,,,zeasegnitz@gmail.com
c2183c29,2023-11-10_MVP-SEEDMIX-5__71,32663dce,2023-12-14,33,22,0.81,2.5,0.08,,,zeasegnitz@gmail.com
ef60a0c0,2023-11-10_MVP-SEEDMIX-5__72,32663dce,2023-12-14,30,17,0.52,1.98,0.08,,,zeasegnitz@gmail.com
47f561b8,2023-11-29_MVP-ME-6__72,76aed01d,2023-12-14,35,21,0.88,2.76,0.08,,,zeasegnitz@gmail.com
206aa8f7,2023-11-29_MVP-ME-6__73,76aed01d,2023-12-14,17,12,0.11,0.38,0.03,,,zeasegnitz@gmail.com
085b1824,2023-11-29_MVP-ME-6__74,76aed01d,2023-12-14,33,21,0.87,2.56,0.1,,,zeasegnitz@gmail.com
317cb59e,2023-11-29_MVP-ME-6__75,76aed01d,2023-12-14,25,15,0.23,0.95,0.06,,,zeasegnitz@gmail.com
5a03159d,2023-11-29_MVP-ME-6__76,76aed01d,2023-12-14,37,26,0.99,3.31,0.11,,,zeasegnitz@gmail.com
06e32c6b,2023-11-29_MVP-JR-5__77,9af54dd5,2023-12-14,30,17,0.38,1.71,0.08,,,zeasegnitz@gmail.com
45d0bfdc,2023-11-29_MVP-JR-5__78,9af54dd5,2023-12-14,33,21,0.42,2.7,0.05,,,zeasegnitz@gmail.com
d0f451ab,2023-11-29_MVP-JR-5__79,9af54dd5,2023-12-14,15,12,0.08,0.42,0.02,,,zeasegnitz@gmail.com
5333d4de,2023-11-29_MVP-JR-5__80,9af54dd5,2023-12-14,20,14,0.13,0.72,0.03,,,zeasegnitz@gmail.com
6493ece3,2023-11-29_MVP-JR-5__81,9af54dd5,2023-12-14,29,17,0.37,1.88,0.08,,,zeasegnitz@gmail.com
20c291e8,2023-11-29_MVP-JR-4__82,15b54320,2023-12-14,18,13,0.1,0.61,0.04,,,zeasegnitz@gmail.com
50cd12ef,2023-11-29_MVP-JR-4__83,15b54320,2023-12-14,21,16,0.19,0.84,0.03,,,zeasegnitz@gmail.com
af5ff4b8,2023-11-29_MVP-JR-4__84,15b54320,2023-12-14,28,17,0.45,1.81,0.06,,,zeasegnitz@gmail.com
338853c7,2023-11-29_MVP-JR-4__85,15b54320,2023-12-14,42,29,1.44,4.37,0.18,,,zeasegnitz@gmail.com
5b15b9e0,2023-11-29_MVP-JR-4__86,15b54320,2023-12-14,30,21,0.65,2.3,0.06,,pea crab,zeasegnitz@gmail.com
1a977b50,2023-11-29_MVP-LOLA-6__87,56a9d65d,2023-12-14,23,15,0.11,0.77,0.01,,,zeasegnitz@gmail.com
5de00dbd,2023-11-29_MVP-LOLA-6__88,56a9d65d,2023-12-14,39,25,1.24,4.2,0.13,,,zeasegnitz@gmail.com
4a5394ba,2023-11-29_MVP-LOLA-6__89,56a9d65d,2023-12-14,44,26,1.5,4.8,0.18,,,zeasegnitz@gmail.com
7e84f331,2023-11-29_MVP-LOLA-6__90,56a9d65d,2023-12-14,27,18,0.26,1.67,0.07,,,zeasegnitz@gmail.com
0a35b7ff,2023-11-29_MVP-LOLA-6__91,56a9d65d,2023-12-14,40,26,1.16,4.42,0.14,,,zeasegnitz@gmail.com
6771ee8c,2023-11-10_MVP-FL-4__92,a3b07ff4,2023-12-14,49,26,1.22,5.08,0.14,,,zeasegnitz@gmail.com
ad571154,2023-11-10_MVP-FL-4__93,a3b07ff4,2023-12-14,22,14,0.19,0.88,0.04,,,zeasegnitz@gmail.com
bba82adf,2023-11-10_MVP-FL-4__94,a3b07ff4,2023-12-14,30,20,0.48,1.77,0.06,,,zeasegnitz@gmail.com
7760ec56,2023-11-10_MVP-FL-4__95,a3b07ff4,2023-12-14,40,23,0.87,2.73,0.08,,,zeasegnitz@gmail.com
1caaeda9,2023-11-10_MVP-FL-4__96,a3b07ff4,2023-12-14,39,25,0.82,3.5,0.07,,,zeasegnitz@gmail.com
7c23a756,2023-11-29_MVP-DEBY-5__97,dafb4ce4,2023-12-14,47,30,2.17,6.15,0.21,,,zeasegnitz@gmail.com
da435e81,2023-11-29_MVP-DEBY-5__98,dafb4ce4,2023-12-14,31,22,0.52,2.26,0.05,,,zeasegnitz@gmail.com
14ffae7b,2023-11-29_MVP-DEBY-5__99,dafb4ce4,2023-12-14,32,21,0.62,2.11,0.09,,,zeasegnitz@gmail.com
645bca48,2023-11-29_MVP-DEBY-5__100,dafb4ce4,2023-12-14,26,16,0.24,1.01,0.02,,,zeasegnitz@gmail.com
8e958b8c,2023-11-29_MVP-DEBY-5__101,dafb4ce4,2023-12-14,30,18,0.4,1.47,0.05,,,zeasegnitz@gmail.com
6b6fbb89,2023-11-29_MVP-TX-5__102,a67dd07b,2023-12-14,41,27,1.35,5.03,0.14,,,zeasegnitz@gmail.com
40ef93e4,2023-11-29_MVP-TX-5__103,a67dd07b,2023-12-14,32,23,0.57,2.22,0.08,,,zeasegnitz@gmail.com
7724c120,2023-11-29_MVP-TX-5__104,a67dd07b,2023-12-14,26,17,0.48,1.48,0.05,,,zeasegnitz@gmail.com
21afc166,2023-11-29_MVP-TX-5__105,a67dd07b,2023-12-14,37,23,1.05,3.58,0.07,,,zeasegnitz@gmail.com
4526d6dc,2023-11-29_MVP-TX-5__106,a67dd07b,2023-12-14,37,25,1.09,3.17,0.13,,,zeasegnitz@gmail.com
829620b1,2023-11-29_MVP-DEBY-6__107,4090043b,2023-12-14,40,26,1.07,3.64,0.13,,,zeasegnitz@gmail.com
21a82fb4,2023-11-29_MVP-DEBY-6__108,4090043b,2023-12-14,42,28,2.18,5.18,0.2,,,zeasegnitz@gmail.com
0d7613c5,2023-11-29_MVP-DEBY-6__109,4090043b,2023-12-14,34,26,0.77,3,0.07,,,zeasegnitz@gmail.com
71e204b3,2023-11-29_MVP-DEBY-6__110,4090043b,2023-12-14,38,28,0.64,3.83,0.09,,,zeasegnitz@gmail.com
63ead6e8,2023-11-29_MVP-DEBY-6__111,4090043b,2023-12-14,22,12,0.12,0.54,0.01,,,zeasegnitz@gmail.com
9a813411,2023-11-10_MVP-NH-4__112,ba78519b,2023-12-14,19,14,0.09,0.66,0.03,,,zeasegnitz@gmail.com
cb4c0d90,2023-11-10_MVP-NH-4__113,ba78519b,2023-12-14,17,13,0.09,0.42,0.04,,,zeasegnitz@gmail.com
f2134d80,2023-11-10_MVP-NH-4__114,ba78519b,2023-12-14,15,9,0.05,0.38,0.02,,,zeasegnitz@gmail.com
d870ca53,2023-11-10_MVP-NH-4__115,ba78519b,2023-12-14,27,20,0.52,1.53,0.08,,,zeasegnitz@gmail.com
f904a8ae,2023-11-10_MVP-NH-4__116,ba78519b,2023-12-14,33,24,0.67,2.43,0.07,,,zeasegnitz@gmail.com
8c1d08b8,2023-11-29_MVP-LA-6__117,9cd99926,2023-12-14,29,21,0.37,1.42,0.05,,,zeasegnitz@gmail.com
df6b4602,2023-11-29_MVP-LA-6__118,9cd99926,2023-12-14,19,15,0.1,0.68,0.04,,,zeasegnitz@gmail.com
e2085762,2023-11-29_MVP-LA-6__119,9cd99926,2023-12-14,30,20,0.42,1.38,0.06,,,zeasegnitz@gmail.com
dc76fee7,2023-11-29_MVP-LA-6__120,9cd99926,2023-12-14,20,19,0.21,0.89,0.04,,,zeasegnitz@gmail.com
9c7d7d4c,2023-11-29_MVP-LA-6__121,9cd99926,2023-12-14,22,17,0.15,0.67,0.02,,,zeasegnitz@gmail.com
261cf702,2023-11-9_MVP-LARMIX-3__122,437901a9,2023-12-14,27,18,0.43,1.36,0.09,,,zeasegnitz@gmail.com
7b8ce1d6,2023-11-9_MVP-LARMIX-3__123,437901a9,2023-12-14,30,23,0.66,2.22,0.07,,,zeasegnitz@gmail.com
32052554,2023-11-9_MVP-LARMIX-3__124,437901a9,2023-12-14,31,19,0.52,1.56,0.05,,,zeasegnitz@gmail.com
2c388513,2023-11-9_MVP-LARMIX-3__125,437901a9,2023-12-14,52,27,2.07,7.52,0.24,,,zeasegnitz@gmail.com
933feb87,2023-11-9_MVP-LARMIX-3__126,437901a9,2023-12-14,35,26,0.92,2.91,0.08,,,zeasegnitz@gmail.com
6e5c2988,2023-11-29_MVP-LOLA-5__127,8678d982,2023-12-14,45,28,1.08,4.81,0.1,,,zeasegnitz@gmail.com
9da84d6b,2023-11-29_MVP-LOLA-5__128,8678d982,2023-12-14,36,33,1.03,4.15,0.14,,,zeasegnitz@gmail.com
9a37b13d,2023-11-29_MVP-LOLA-5__129,8678d982,2023-12-14,18,11,0.06,0.44,0.01,,,zeasegnitz@gmail.com
01f1236e,2023-11-29_MVP-LOLA-5__130,8678d982,2023-12-14,27,15,0.39,1.29,0.05,,,zeasegnitz@gmail.com
d4f9c5a0,2023-11-29_MVP-LOLA-5__131,8678d982,2023-12-14,30,29,0.67,2.35,0.09,,,zeasegnitz@gmail.com
54579540,2023-11-29_NVP-NH-5__132,3be42f0e,2023-12-14,25,19,0.35,1.94,0.05,,,zeasegnitz@gmail.com
7d971d23,2023-11-29_NVP-NH-5__133,3be42f0e,2023-12-14,20,14,0.24,0.92,0.06,,,zeasegnitz@gmail.com
c1ee320e,2023-11-29_NVP-NH-5__134,3be42f0e,2023-12-14,15,10,0,0.37,NA,dead- no tissue inside - mud,,zeasegnitz@gmail.com
f1b35f5c,2023-11-29_NVP-NH-5__135,3be42f0e,2023-12-14,28,23,0.74,2.34,0.11,,,zeasegnitz@gmail.com
9a6a03b9,2023-11-29_NVP-NH-5__136,3be42f0e,2023-12-14,21,17,0.21,1,0.06,,,zeasegnitz@gmail.com
92edd613,2023-11-29_MVP-NH-6__137,90b35870,2023-12-14,23,17,0.39,1.76,0.04,,,zeasegnitz@gmail.com
cd65ed26,2023-11-29_MVP-NH-6__138,90b35870,2023-12-14,33,23,0.67,2.86,0.09,,,zeasegnitz@gmail.com
0b6aed68,2023-11-29_MVP-NH-6__139,90b35870,2023-12-14,15,11,0.07,0.39,0,negligible dry tissue weight - did not register on scale,,zeasegnitz@gmail.com
5a7e8238,2023-11-29_MVP-NH-6__140,90b35870,2023-12-14,21,16,0.21,0.9,0.02,,,zeasegnitz@gmail.com
909bad4b,2023-11-29_MVP-NH-6__141,90b35870,2023-12-14,30,21,0.61,2.18,0.08,,,zeasegnitz@gmail.com
ab0bf697,2023-11-29_MVP-LA-5__142,23bd992c,2023-12-14,24,17,0.2,1.01,0.04,,,zeasegnitz@gmail.com
617e9dad,2023-11-29_MVP-LA-5__143,23bd992c,2023-12-14,31,22,0.78,2.29,0.1,,,zeasegnitz@gmail.com
f4156a1b,2023-11-29_MVP-LA-5__144,23bd992c,2023-12-14,32,29,0.73,2.39,0.07,,,zeasegnitz@gmail.com
ff5dbcda,2023-11-29_MVP-LA-5__145,23bd992c,2023-12-14,41,28,1.03,3.73,0.12,,,zeasegnitz@gmail.com
53344ff3,2023-11-29_MVP-LA-5__146,23bd992c,2023-12-14,40,27,0.96,3.2,0.1,,,zeasegnitz@gmail.com
47cbec51,2023-11-10_MVP-LARMIX-6__147,657ed6e0,2023-12-14,25,16,0.25,1.25,0.06,,,zeasegnitz@gmail.com
30b10510,2023-11-10_MVP-LARMIX-6__148,657ed6e0,2023-12-14,41,31,1.29,5.12,0.12,,,zeasegnitz@gmail.com
cf3e370f,2023-11-10_MVP-LARMIX-6__149,657ed6e0,2023-12-14,45,30,1.79,6.33,0.16,,,zeasegnitz@gmail.com
1a117ec4,2023-11-10_MVP-LARMIX-6__150,657ed6e0,2023-12-14,33,22,0.88,2.59,0.08,,,zeasegnitz@gmail.com
87360a2b,2023-11-10_MVP-LARMIX-6__151,657ed6e0,2023-12-14,42,31,1.88,5.51,0.23,,,zeasegnitz@gmail.com
e0314411,2023-11-10_MVP-LARMIX-6__152,657ed6e0,2023-12-14,NA,NA,NA,NA,NA,,,zeasegnitz@gmail.com
7e2c5554,2023-11-10_MVP-LA-4__153,82000064,2023-12-14,31,22,0.29,2.06,0.04,,,zeasegnitz@gmail.com
c51daa5e,2023-11-10_MVP-LA-4__154,82000064,2023-12-14,32,24,0.87,2.56,0.09,,,zeasegnitz@gmail.com
8c47fb62,2023-11-10_MVP-LA-4__155,82000064,2023-12-14,19,15,0.16,0.65,0.03,,,zeasegnitz@gmail.com
80d8102f,2023-11-10_MVP-LA-4__156,82000064,2023-12-14,36,26,0.75,4.03,0.1,,,zeasegnitz@gmail.com
5790d85d,2023-11-10_MVP-LA-4__157,82000064,2023-12-14,27,22,0.36,1.32,0.05,,,zeasegnitz@gmail.com
947b67dd,2023-11-7_MVP-DEBY-2__158,b6b8dc84,2023-12-14,44,35,1.95,6.14,0.13,,,zeasegnitz@gmail.com
7ef59ad9,2023-11-7_MVP-DEBY-2__159,b6b8dc84,2023-12-14,30,21,0.39,1.45,0.05,,,zeasegnitz@gmail.com
c15ad121,2023-11-7_MVP-DEBY-2__160,b6b8dc84,2023-12-14,36,30,1.21,3.84,0.15,,,zeasegnitz@gmail.com
cba69bb4,2023-11-7_MVP-DEBY-2__161,b6b8dc84,2023-12-14,34,23,0.69,2.72,0.07,,,zeasegnitz@gmail.com
020c412a,2023-11-7_MVP-DEBY-2__162,b6b8dc84,2023-12-14,24,15,0.18,0.84,0.02,,,zeasegnitz@gmail.com
017bdace,2023-11-9_MVP-SEEDMIX-3__163,10984e6d,2023-12-14,25,20,0.43,1.7,0.1,,,zeasegnitz@gmail.com
c012697e,2023-11-9_MVP-SEEDMIX-3__164,10984e6d,2023-12-14,42,26,1.18,5.26,0.12,,,zeasegnitz@gmail.com
12c5994c,2023-11-9_MVP-SEEDMIX-3__165,10984e6d,2023-12-14,35,24,0.73,2.41,0.09,,,zeasegnitz@gmail.com
c63d3be2,2023-11-9_MVP-SEEDMIX-3__166,10984e6d,2023-12-14,40,20,0.62,3.17,0.06,,,zeasegnitz@gmail.com
f245f680,2023-11-9_MVP-SEEDMIX-3__167,10984e6d,2023-12-14,41,27,1.33,3.81,0.11,,,zeasegnitz@gmail.com
70e6b91f,2023-11-9_MVP-LA-2__168,7adaf470,2023-12-14,44,22,1.46,5.72,0.16,,,zeasegnitz@gmail.com
3e1476e4,2023-11-9_MVP-LA-2__169,7adaf470,2023-12-14,38,26,0.87,4.02,0.08,,,zeasegnitz@gmail.com
fd64abff,2023-11-9_MVP-LA-2__170,7adaf470,2023-12-14,38,33,1.07,6.13,0.14,,,zeasegnitz@gmail.com
58314437,2023-11-9_MVP-LA-2__171,7adaf470,2023-12-14,32,26,0.71,2.73,0.1,,,zeasegnitz@gmail.com
0c89cd9c,2023-11-9_MVP-LA-2__172,7adaf470,2023-12-14,51,36,1.68,6.03,0.18,,,zeasegnitz@gmail.com
b859cf59,2023-11-7_MVP-DEBY-3__173,fc07db57,2023-12-14,35,28,1.03,3.18,0.13,,,zeasegnitz@gmail.com
31999fc2,2023-11-7_MVP-DEBY-3__174,fc07db57,2023-12-14,33,25,0.66,2.41,0.09,,,zeasegnitz@gmail.com
3db7abdd,2023-11-7_MVP-DEBY-3__175,fc07db57,2023-12-14,33,23,0.49,1.85,0.06,,,zeasegnitz@gmail.com
683cd8f9,2023-11-7_MVP-DEBY-3__176,fc07db57,2023-12-14,32,24,0.6,2.65,0.08,,,zeasegnitz@gmail.com
e9b2f105,2023-11-7_MVP-DEBY-3__177,fc07db57,2023-12-14,31,23,0.64,2.11,0.07,,,zeasegnitz@gmail.com
36ab6160,2023-11-7_MVP-FL-1__178,6deee228,2023-12-14,42,26,0.9,3.15,0.1,,,zeasegnitz@gmail.com
4b441185,2023-11-7_MVP-FL-1__179,6deee228,2023-12-14,32,20,0.3,1.59,0.04,,,zeasegnitz@gmail.com
92cfae06,2023-11-7_MVP-FL-1__180,6deee228,2023-12-14,45,28,1.01,3.95,0.09,,,zeasegnitz@gmail.com
8d28a6f9,2023-11-7_MVP-FL-1__181,6deee228,2023-12-14,39,22,0.61,2.66,0.06,,,zeasegnitz@gmail.com
02fb9e58,2023-11-7_MVP-FL-1__182,6deee228,2023-12-14,31,19,0.36,1.62,0.04,,,zeasegnitz@gmail.com
45cba69d,2023-11-7_MVP-JR-3__183,c818a12b,2023-12-14,35,22,0.56,3.14,0.08,,,zeasegnitz@gmail.com
b2c443f7,2023-11-7_MVP-JR-3__184,c818a12b,2023-12-14,25,17,0.28,1.34,0.07,,,zeasegnitz@gmail.com
ebcec8a6,2023-11-7_MVP-JR-3__185,c818a12b,2023-12-14,40,26,1.12,3.95,0.14,,,zeasegnitz@gmail.com
4caf81df,2023-11-7_MVP-JR-3__186,c818a12b,2023-12-14,33,25,0.63,3.16,0.08,,,zeasegnitz@gmail.com
b71643d5,2023-11-7_MVP-JR-3__187,c818a12b,2023-12-14,32,22,0.48,2.28,0.05,,,zeasegnitz@gmail.com
5391a859,2023-11-7_MVP-ME-2__188,c5764463,2023-12-14,26,15,0.21,1.11,0.04,,,zeasegnitz@gmail.com
6f1f360d,2023-11-7_MVP-ME-2__189,c5764463,2023-12-14,30,25,0.85,2.5,0.12,,,zeasegnitz@gmail.com
edf6a6c6,2023-11-7_MVP-ME-2__190,c5764463,2023-12-14,37,30,1.38,4,0.18,,,zeasegnitz@gmail.com
e4f1d8e3,2023-11-7_MVP-ME-2__191,c5764463,2023-12-14,25,18,NA,1.22,NA,dead- no tissue ,,zeasegnitz@gmail.com
e0fa4501,2023-11-7_MVP-ME-2__192,c5764463,2023-12-14,26,21,0.45,1.42,0.06,,,zeasegnitz@gmail.com
50a87f84,2023-11-9_MVP-LARMIX-1__193,24df23d3,2023-12-14,18,15,0.08,0.57,0.01,,,zeasegnitz@gmail.com
d34603b3,2023-11-9_MVP-LARMIX-1__194,24df23d3,2023-12-14,51,26,1.33,4.8,0.15,,,zeasegnitz@gmail.com
