SiteDate_Key,ID_SiteDate,Date,Site_Key,ID_Site,Time,Num_collected,Collection_method,Water_temp_C,Salinity_ppt,Depth_m,Other_data,Collector_name,Contact_Info,Date_shipped,Time_shipped,Notes,Username,CanEdit_date
d1237372,RP_PR_MD_2022-10-23,10/23/2022,b3190585,RP_PR_MD,13:02:20,30,subtidal_dredge,16.4,15.7,6.68,,Amy Zyck,amaelia_zyck@uri.edu,,,"Few oysters, multiple dredged needed to obtain 30 indiv. Seed planning in June 2022, seeded oysters separated from collected oysters.",ahooks@uri.edu,FALSE
e0d16263,LCP_UP_MD_2022-10-20,10/20/2022,0a45bef1,LCP_UP_MD,10:45:00,32,subtidal_dredge,15.6,9.6,2.19456,depth is 7.2 feet,Amy Zyck,amaelia_zyck@uri.edu,10/24/2022,9:30:00,,leungelisabeth@gmail.com,FALSE
5068542b,DC_DR_ME_2022-10-25,10/25/2022,5647be80,DC_DR_ME,15:23:15,34,intertidal,,,0.3048,depth is 1 foot,"Madeline Eppley, Elisabeth Leung, Annie Christie",,10/25/2022,16:00:00,,eppley.madeline@gmail.com,FALSE
2f56eb4d,Orrs_Cove_ME_2022-10-31,10/31/2022,ce36eb54,Orrs_Cove_ME,10:47:10,35,intertidal,,,0,,"Madeline Eppley, Elisabeth Leung, Annie Christie",,10/25/2022,18:00:00,,eppley.madeline@gmail.com,FALSE
95c9b2b0,MI_DB_NJ_2022-10-21,10/21/2022,1367f7b0,MI_DB_NJ,11:47:46,30,subtidal_dredge,15.4,15,,,Iris Burt,Iburt@hsrl.rutgers.edu,10/26/2022,,,ahooks@uri.edu,FALSE
30256a73,NB_DB_NJ_2022-10-21,10/21/2022,f57c2ada,NB_DB_NJ,9:32:46,30,subtidal_dredge,14.7,20.99,,,Iris Burt,Iburt@hsrl.rutgers.edu,10/26/2022,,,ahooks@uri.edu,FALSE
293bbf81,LEE_RR_VA_2022-11-2,11/2/2022,d66ec819,LEE_RR_VA,10:29:57,30,subtidal_tongs,16.5,19.6,5.5,,Missy Southworth,melsouth@vims.edu,11/7/2022,,,ahooks@uri.edu,FALSE
b01caa76,HP_CB_MD_2022-11-1,11/1/2022,0e236d34,HP_CB_MD,17:53:40,30,subtidal_dredge,15.5,16.1,,,Mitchell Tarnowski,mitch.tarnowski@maryland.gov,,,Kept in water until Nov. 9th where they were transported in cooler by Puritz lab to URI. Kept in 4C walk in fridge until processed.,ahooks@uri.edu,FALSE
d61306cb,Hac_CB_MD_2022-11-1,11/1/2022,22831919,Hac_CB_MD,17:59:04,30,subtidal_dredge,16.2,17.5,,,Mitch Tarnowski,mitch.tarnowski@maryland.gov,,,Oysters were kept in water until 11/06 when they were transported by Puritz lab to URI. They were kept in 4C walk in fridge until processed.,ahooks@uri.edu,FALSE
78f9898c,MOW_CB_MD_2022-11-2,11/2/2022,c3365e8f,MOW_CB_MD,14:49:07,30,subtidal_dredge,15.6,11,,,Mitch Tarnowski,mitch.tarnowski@maryland.gov,,,Oysters kept in water until 11/9 when they were transported via cooler/car. Kept in 4C walkin fridge until processed.,ahooks@uri.edu,FALSE
630ec48a,WC_RR_VA_2022-11-10,11/10/2022,bd5d6671,WC_RR_VA,11:25:08,30,subtidal_tongs,16.1,18.7,6.7,,Missy Southworth,Melsouth@vims.edu,11/14/2022,,,ahooks@uri.edu,FALSE
a7698202,NE_RR_VA_2022-11-14,11/14/2022,a34a5191,NE_RR_VA,14:01:40,30,subtidal_tongs,13.7,18.9,4.3,,Missy Southworth,Melsouth@vims.edu,11/15/2022,,,ahooks@uri.edu,FALSE
ded53bcc,Nah_MA_2023-7-13,7/13/2023,95bab27f,Nah_MA,9:29:08,15,,,,,,,,,,,eppley.madeline@gmail.com,FALSE
8a78a177,UNCW_MS_NC_2023-7-17,7/17/2023,81326116,UNCW_MS_NC,15:15:00,40,intertidal,,,0,,Madeline Eppley,,7/17/2023,16:00:00,,eppley.madeline@gmail.com,FALSE
0fb8b08b,FFJ_CF_NC_2023-7-19,7/19/2023,8a6c50c7,FFJ_CF_NC,14:00:00,35,intertidal,,,,,Madeline Eppley,,7/17/2023,16:30:00,,camillerumberger11@gmail.com,FALSE
d80d9b12,AC_LIS_CT_2023-10-3,10/3/2023,62d6c8c1,AC_LIS_CT,10:00:00,30,intertidal,18.05,17.03,,pH 7.69,Meghana Parikh,meghana.parikh@noaa.gov,10/3/2023,12:00:00,,eppley.madeline@gmail.com,FALSE
55bea70b,IL_ApBay_FL_2023-10-3,10/3/2023,c435f215,IL_ApBay_FL,2:00:00,37,intertidal,28.1,20.1,0,,Grace Westphal,ghw22@fsu.edu,10/4/2023,18:00:00,,eppley.madeline@gmail.com,FALSE
0a811967,EC_ApBay_FL_2023-10-4,10/4/2023,ab95db59,EC_ApBay_FL,13:00:00,36,intertidal,27.4,31.2,0,,Grace Westphal,ghw22@gmail.com,10/4/2023,18:00:00,,eppley.madeline@gmail.com,FALSE
22a5c358,FC_LIS_CT_2023-10-11,10/11/2023,32f6bc4c,FC_LIS_CT,10:56:17,35,intertidal,19.5,23.5,2,pH 7.5,Meghana Parikh,meghana.parikh@noaa.gov,10/10/2023,12:30:00,,eppley.madeline@gmail.com,FALSE
